Gene	TCGA-C5-A1BF-01B-11R-A13Y-07	TCGA-EA-A439-01A-11R-A24H-07	TCGA-EK-A2PL-01A-11R-A18M-07	TCGA-C5-A7UC-01A-11R-A352-07	TCGA-GH-A9DA-01A-21R-A37O-07	TCGA-FU-A23K-01A-11R-A16R-07	TCGA-VS-A9UL-01A-11R-A42T-07	TCGA-C5-A1BM-01A-11R-A13Y-07	TCGA-FU-A23L-01A-11R-A16R-07	TCGA-ZJ-AAXB-01A-11R-A42T-07	TCGA-C5-A1BN-01B-11R-A14Y-07	TCGA-EK-A2RM-01A-21R-A18M-07	TCGA-VS-A9UB-01A-22R-A42T-07	TCGA-EK-A2R8-01A-21R-A18M-07	TCGA-EK-A2RJ-01A-11R-A18M-07	TCGA-VS-A9UP-01A-11R-A42T-07	TCGA-ZJ-AB0H-01A-11R-A42T-07	TCGA-R2-A69V-01A-11R-A32P-07	TCGA-EK-A2PK-01A-11R-A18M-07	TCGA-VS-AA62-01A-11R-A42T-07	TCGA-VS-A94X-01A-11R-A38B-07	TCGA-MA-AA3Y-01A-11R-A38B-07	TCGA-4J-AA1J-01A-21R-A38B-07	TCGA-C5-A7X3-01A-11R-A352-07	TCGA-C5-A7X8-01A-11R-A36F-07	TCGA-EA-A5ZE-01A-11R-A28H-07	TCGA-ZJ-AAXT-01A-11R-A42T-07	TCGA-IR-A3L7-01A-21R-A213-07	TCGA-C5-A1M6-01A-11R-A13Y-07	TCGA-C5-A1MI-01A-11R-A14Y-07	TCGA-VS-A958-01A-11R-A42T-07	TCGA-C5-A1ME-01A-11R-A13Y-07	TCGA-VS-A9V1-01A-11R-A42T-07	TCGA-Q1-A73S-01A-11R-A33Z-07	TCGA-MY-A913-01A-11R-A37O-07	TCGA-C5-A907-01A-11R-A37O-07	TCGA-EK-A2R7-01A-11R-A18M-07	TCGA-LP-A4AU-01A-32R-A32Y-07	TCGA-C5-A1M7-01A-11R-A13Y-07	TCGA-IR-A3LH-01A-21R-A213-07	TCGA-JW-A5VJ-01A-11R-A28H-07	TCGA-EX-A3L1-01A-11R-A32Y-07	TCGA-DG-A2KH-01A-21R-A22U-07	TCGA-JW-A5VG-01A-11R-A28H-07	TCGA-C5-A1MJ-01A-11R-A14Y-07	TCGA-Q1-A73P-01A-11R-A32P-07	TCGA-EA-A3Y4-01A-51R-A24H-07	TCGA-JX-A3PZ-01A-11R-A32Y-07	TCGA-VS-A9UO-01A-11R-A42T-07	TCGA-C5-A1MF-01A-11R-A13Y-07	TCGA-VS-A9UH-01A-11R-A42T-07	TCGA-EA-A1QS-01A-61R-A22U-07	TCGA-Q1-A5R3-01A-11R-A28H-07	TCGA-DG-A2KJ-01A-11R-A32Y-07	TCGA-FU-A5XV-01A-11R-A28H-07	TCGA-C5-A8YR-01A-12R-A37O-07	TCGA-C5-A7CM-01A-11R-A33Z-07	TCGA-MA-AA43-01A-11R-A42T-07	TCGA-FU-A3TX-01A-11R-A22U-07	TCGA-EA-A5ZF-01A-11R-A28H-07	TCGA-C5-A1MQ-01A-11R-A14Y-07	TCGA-VS-A94Y-01A-11R-A38B-07	TCGA-C5-A3HE-01A-21R-A22U-07	TCGA-UC-A7PI-01A-11R-A42S-07	TCGA-EK-A3GM-01A-11R-A213-07	TCGA-EX-A8YF-01A-11R-A37O-07
TSPAN6	14.490066899027104	14.071675468375556	14.82495892055335	13.865525633294103	13.258622862059115	16.109094145727035	13.986993298233129	14.524662597603992	15.029826524671606	14.401324596757258	13.286359142479704	14.86907897493535	12.88337106662324	15.154857146609533	14.451656147758394	14.459313790577012	13.755562836220136	13.596362811162725	13.411854512138737	13.497551701160235	15.28538838352957	13.2337131188455	13.912175602146885	14.02161446358726	14.09396064979235	14.248790133219984	12.674531671673037	15.794567483580826	14.815948190525994	14.195194531222501	13.599282381134893	13.834032544372155	13.591807731668528	15.156138428171296	14.457866950545808	14.336027672451701	14.846802115904724	14.916381729652953	15.036509827954122	13.188961953452207	13.543701700358687	14.114408377442114	14.167504946371725	13.480973635473525	14.733506729169093	14.305767729878161	14.058682984005676	13.477713040475171	13.777173006263013	13.76010028901224	13.586221555995834	15.04851983830594	13.914781041851523	14.141735991538349	15.17130796993324	15.653358818638308	15.386069116688553	15.065580804533612	14.462798191310668	16.191946314556404	14.893854117055126	14.369976912252941	14.683557573554772	15.225838578127183	14.961976084642988	12.665880489147002
DPM1	13.581627266160663	14.10058145931564	13.496062605010675	13.962661993606359	14.836349238014373	14.961733589177	12.777076098632435	13.45527893450616	13.74776266922045	14.842253645295628	13.902919919720185	14.125177872654369	13.055791391495202	13.877817359181625	14.247355269262107	13.389782120416486	13.161581816509848	13.823210714587136	13.634582963090892	13.214246592517547	13.69455256598445	14.022460943844749	13.93224222655871	13.875938911556798	13.838551907873427	13.67640080773132	13.503562009337859	13.489240654635376	13.923942412861525	14.048390109152791	13.245673105512198	14.42802486580996	13.98082663523268	14.33126228469246	14.128162287001542	13.360884264879626	14.571446313591006	13.420430571630778	13.407052281669609	14.757915050142703	13.502138533124336	13.663748062354774	13.55170548857635	13.820787098536572	13.359691169426792	13.91104989906893	12.901105143690716	14.275230539078061	14.177589156368885	13.672990221873276	14.550593799680566	14.018181918972488	13.01424486795921	14.48275609607367	13.96663782133133	14.446454331329413	14.03875116365697	14.825162122571559	13.491641567191984	14.442195361023678	13.874415012629193	13.141842753453375	14.128661095797245	13.773910147636412	14.509384154220658	13.477935177061807
SCYL3	12.732433715600878	13.234753029846312	12.670816749434588	12.38748537301823	12.558706636081038	11.91862427130982	13.174344693287578	13.663448402426162	13.852434479367208	13.099424725364663	13.277042285755904	13.084645698458788	12.330677889574536	12.389902165209714	12.829589514994533	13.360253130403663	13.798866610200298	12.289963628831016	13.54143587255696	12.91082402266814	12.763860111523858	12.227817291297972	13.523777091777916	12.034834329664935	12.512622636980314	14.262754651481464	13.055744135673045	13.187782447027102	13.050265628424082	13.734614166127319	13.075200197665929	12.424829852489466	13.362722438421574	12.714141150082694	12.26675380882537	11.456425363067778	13.618531894271287	12.949178797407017	13.270560310353169	12.685086438977647	13.563668141039726	12.438784329969595	12.775224311832392	12.103484751254248	13.061137020777718	13.219977072814293	12.308282557671218	12.393743885148265	13.379908561786277	12.502634334730434	11.784509609825628	12.717071225645704	12.21905503959896	12.357514149811529	13.165079309985648	13.020601335844571	12.616926883036696	12.467092691508396	13.38505455626988	13.226796056305501	12.561288215789352	12.769360364345935	12.091700029086319	13.491133330692286	13.658151739865783	13.01867307353192
FIRRM	13.063283654648977	14.239521021575296	12.829297872927219	13.28178288666739	14.399292652272498	11.690774682564786	14.390224589316954	13.357877286199724	14.347807794392898	13.699700632881266	14.628676528313752	13.208626207463142	13.307280846888894	14.385168912562449	13.635018725325804	14.396003924921649	14.50188983671061	12.16504741308325	13.467959455992986	13.224251978378614	14.186407282836324	13.140492195942983	13.698813237478719	13.62433370380958	13.0806357300505	14.249106415691932	13.852448811012202	12.79111499714332	14.128661216393844	14.67925445007816	13.465872582622332	11.316626353986672	13.621187046136473	13.539670861851087	14.198996521179769	12.744105555688524	14.198594199302581	14.05994842416191	13.830880030062778	13.8486954122632	13.078506236354976	13.632621788198689	13.454495979128561	13.374524105613018	14.263561526137657	12.758029326094292	12.3325501984115	13.465766679451708	13.521128399943779	12.837769349690026	13.758093496966945	12.536999439518244	11.068189163387995	10.055861107087221	13.501874014755261	14.820990785477335	13.015955858989628	13.653794246113197	13.031828236675041	14.107148226537596	13.26126316786815	13.876155797382433	13.955267172284863	12.93830454981802	13.943989870933349	13.703203002509952
FGR	11.175348321460534	12.078154809869254	10.135236735238415	9.097554131988906	11.451285893168903	10.32903708481928	10.121384204195799	12.36223734830757	10.935434465615465	9.398480225600286	9.406425892451894	10.72961866685936	12.91584479469268	10.87065254547895	11.610369545339777	9.541100057043034	12.012846824284532	13.914740035638077	12.82642978053564	12.382435778285435	10.23518740971044	11.644626795584921	11.162759421333345	10.90053391563636	11.118541424635008	11.876058098986642	11.009979740689575	9.742080417206187	11.76543306407797	11.118062105760021	12.48629605119573	10.116896092183524	12.160347500678728	9.55637009312471	10.751238108396086	10.979880045696726	11.234902858155552	11.129594166212692	11.906639980185071	13.497748655783951	10.923392537932685	13.118095891753658	10.32099177713645	10.845780579285638	12.042272137769626	10.473121893904041	10.89566092323088	11.813012996312839	9.082265977901885	9.946157833993775	12.233137203011601	12.26369328435906	9.95216731466003	9.848072718334707	10.04883895048018	11.883847482653216	10.21964789993036	10.740816007327888	11.074180434628373	12.153113776929821	11.154983999116526	10.55881698258429	11.912090128448103	10.134064239316238	9.841217215614767	11.136518199494244
FUCA2	14.561499055054353	13.961492654449925	14.011009287320446	15.012502758971502	14.25672716858993	15.133042612602635	14.353808781923119	13.867600850347332	13.58553716401587	13.746956961811252	15.085283692188536	14.965056273578089	14.420624906649829	14.896976010697765	14.853478578244196	13.65742783498013	13.271904381491519	14.60073957180956	14.432283480271089	14.044823961237451	14.277723239470154	14.385524753450724	13.393753474495151	15.204597264483565	15.353027245234378	14.26206565117569	13.35711393308833	13.492791626670673	14.717704743122683	14.534818483217213	13.133594460323495	15.913067097077704	14.85208790098852	14.272345495354525	14.066731996768265	15.013585843037202	14.730466322670551	14.52206706603085	14.298357415487594	15.054577361301103	12.618901693050073	15.607866414739147	14.289276483004627	14.300218125490812	14.869869563931887	14.556696536966333	14.97265564384713	14.722277888783116	15.018785095985912	15.486421413409664	15.389972803410265	14.285421615230936	16.474283248968515	16.448841546581797	14.300424252725618	16.235627640789414	16.340063018915934	14.727496120467109	12.21452089695416	14.374949513338438	14.931977344558735	15.282394200831382	15.137538544397701	14.540156443255094	14.107665890223867	14.67199947465175
NFYA	14.369051373359634	13.922689647388083	13.322617576584667	14.018654540320812	13.429805212140213	13.619991671163147	14.477423176086964	13.839689058724938	14.792148993926004	13.929027728122922	14.627475697014605	13.773759369929856	13.84554280242533	13.811056697012699	14.16025823556411	13.517935004221409	13.725768050934214	13.133703296631447	15.10780821138962	14.266890714275322	13.733681162121474	14.761334369091461	13.789945941117498	13.098691461133809	13.528531364921514	14.336763290011325	14.058802628736329	13.09835618804979	13.75883582834966	14.006967578415198	13.944208586866262	13.043133930284581	13.542408652994128	13.52768875901021	13.835032768468976	13.86528588060654	13.42264212884142	14.71175853723359	13.716795162478984	14.473712682193336	12.736456649903404	13.875492240779153	13.241594094553554	13.356409843991308	13.750423363758895	12.725005935962681	14.222267932157722	13.257899224976356	13.43050131206772	13.93657825155075	13.60514343423794	14.489047875619054	13.59180947002807	12.63185860745766	13.107801072361449	12.851282827610847	13.613509165001824	13.976605478881433	14.757073995508463	13.610237007692882	13.40610012254358	13.536004388552023	14.11267717741172	13.166288884686747	14.281184423293976	13.27834356321834
STPG1	11.418917129965589	12.236961592706162	12.14096925514008	12.796214912694259	11.828605547112632	11.598791389859928	12.179419839369247	11.370930326325306	11.996639133364674	11.20068134285045	12.988621801615704	11.181813143769151	10.838282430733141	11.172530153972474	11.078543437258812	11.427992593171382	12.166048028308339	11.317417915494833	12.12939520641934	11.268180548247205	11.354039927617306	11.05054493419412	11.914674892440523	11.69673219839639	12.046847477534692	11.292394664959573	11.432256191430804	11.172025496903597	12.430384428634595	11.562483528665185	11.464402596012352	12.110372616949128	12.23693834436135	12.638035160135995	11.406123315570493	12.43707819590777	12.226521201720727	11.591191135988405	13.274053309956935	11.634845513346917	11.076907202368673	12.194027123629791	12.086825609544022	11.336536847154958	10.636848639473815	11.497262910349654	12.472615228501347	12.119913990020715	10.923460801494874	11.647206926132181	11.821983064559305	12.129000188177642	11.21810271385315	12.105298588942942	12.632914763544314	12.462938978128328	11.260663876265971	11.326485472823567	11.336296740887098	12.203125675902902	11.282080539604205	12.750455926631817	11.778401380721244	12.429012018400318	11.499845214312922	12.03876689108479
NIPAL3	13.246382569149283	12.54208443079759	13.479908814033344	13.477820460443748	13.127441113623913	12.659642551863396	13.155778950108637	13.26004374285866	13.195431541869706	12.65818093755395	13.886650462273277	12.135353788442508	13.47281439708783	12.529001952712424	11.774703142932228	13.121707921594133	13.517698966211256	12.759824839506038	13.219157596733332	13.143989856132414	13.461143777046814	12.451810366715215	12.677088827253314	12.989720934309634	12.494458645438346	12.964072902078637	12.995528175621796	13.57866555397396	13.514417860668985	12.527453672042462	13.650611645339364	13.01396834765357	12.824077018692481	12.186890648324493	13.33790410867595	12.294717896471493	13.521079650857736	12.941623480748163	13.526172679844127	12.608091934220823	13.588195796828547	13.348391491077436	13.667637017212837	13.46546318339249	12.568796923090975	12.98629407818327	12.542277087261379	12.251897502520961	12.705679307802221	13.246589900371735	13.24377616396766	13.337560595134317	13.117836739132294	13.653120693342974	13.58956033764882	12.22684293531702	13.502739151744208	12.16822119313074	13.656172484345909	12.619505892290118	12.287372924282149	13.437723765647014	13.121997373847734	12.97675241680042	12.62113584830746	13.678334350484182
LAS1L	14.321916911699052	14.319018295232791	14.229463226543853	14.514878885628825	14.552727917183425	15.942037584843874	14.38881975937062	14.291954081167091	14.753571914822015	14.85850867898311	14.563955745405103	14.98761658248737	14.251937160046236	14.899342410727296	15.451247917750443	14.719228378175039	14.116820384811476	14.219691474492944	13.73804961600079	14.244823147985368	15.927803541469444	14.76162241920698	14.455054849507825	14.834828215446905	14.786333065125064	14.310272520505727	15.102909808983544	15.492479095029026	15.190161530423595	14.000859513903748	14.606264104528186	14.809586608815888	14.288791627548058	14.81091153173979	14.812285344370586	14.612165308884371	14.558880037404247	14.74812714578864	14.331023331160921	14.464477624863655	14.369831256113208	14.561477217545576	15.039660683188902	14.389875018208578	15.267310996164028	14.383073679687989	15.050469721990538	14.728520666681465	14.157176516269331	15.643071753550704	15.355747817426156	14.50527552827442	15.41247060282317	16.257695835895532	14.025808366844565	15.343978894485417	14.590574667066157	14.78315843135421	15.215990290214286	15.637714455290457	15.32552771892049	14.431933701797949	14.90778067664916	14.507293745453072	14.650548176369242	14.029508329501354
